date,EWJ,EWY,EXI,IWB,IWD,IWF,IWM,IWN,IWO,IXC,IXG,IXJ,IXN,IXP,JXI,KXI,MCHI,MXI,REET,RSP,RXI,SPY,VEA,VGK,VT,VTI,VWO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2023-01-20,52.66644287109375,58.86991882324219,105.04553985595703,209.47537231445312,146.1675567626953,55.084068298339844,177.46102905273438,137.4547882080078,223.04200744628906,35.50434494018555,67.95514678955078,80.64666748046875,46.93162536621094,57.031185150146484,54.32783508300781,54.87984848022461,50.19470977783203,79.41157531738281,21.34373664855957,139.0830535888672,132.3470001220703,378.53411865234375,40.77703094482422,53.833946228027344,85.13301086425781,189.58900451660156,38.56639862060547,38.71208953857422,51.112640380859375,40.31555938720703,33.3961296081543,94.04039001464844,64.10535430908203,66.14680480957031,34.81839370727539,31.147260665893555,126.33182525634766,67.46915435791016
2023-01-23,52.52077102661133,59.48430633544922,105.83185577392578,212.09384155273438,147.6007843017578,55.96281814575195,179.65721130371094,138.69161987304688,226.60733032226562,35.539485931396484,68.38391876220703,80.90298461914062,48.017147064208984,57.76295471191406,54.27384948730469,54.980525970458984,50.7822151184082,79.55001831054688,21.530261993408203,140.8468780517578,134.07943725585938,383.07598876953125,40.94783401489258,54.083255767822266,85.93694305419922,191.9927215576172,38.847774505615234,38.8383674621582,52.007843017578125,40.36902618408203,33.78346633911133,95.06639862060547,65.56475067138672,66.3563003540039,34.91604232788086,31.156261444091797,126.7657699584961,68.5226058959961
2023-01-24,52.87583541870117,59.307430267333984,106.53292083740234,211.90199279785156,147.44151306152344,55.83517837524414,179.27362060546875,138.56044006347656,225.63050842285156,35.35498046875,68.5298843383789,80.26692199707031,47.89979553222656,57.56593704223633,54.471763610839844,55.044593811035156,50.72713088989258,79.7530746459961,21.601314544677734,140.51673889160156,134.24217224121094,382.6647644042969,40.93885040283203,53.931888580322266,85.8528060913086,191.67791748046875,38.884090423583984,38.86174774169922,51.86344909667969,40.213069915771484,33.802364349365234,95.69338989257812,65.53546142578125,66.62957000732422,35.06697082519531,31.3137264251709,125.92613220214844,68.4449234008789
2023-01-25,53.51311492919922,59.44706726074219,106.03080749511719,211.85403442382812,147.7412872314453,55.77381134033203,179.77232360839844,139.0289306640625,226.10914611816406,35.293479919433594,68.9677734375,80.44730377197266,47.85090255737305,57.75357437133789,54.19289016723633,55.20934295654297,50.85565185546875,80.19609832763672,21.592430114746094,140.8374481201172,134.73031616210938,382.8082580566406,41.14561080932617,54.14558792114258,86.01172637939453,191.77333068847656,38.893157958984375,38.94124984741211,52.04633331298828,40.217529296875,34.06688690185547,95.16138458251953,65.39878845214844,66.79351043701172,35.10247802734375,30.89081382751465,125.9638671875,68.79446411132812
2023-01-26,53.403865814208984,60.592071533203125,106.48554992675781,214.19432067871094,148.8841094970703,56.57155990600586,180.8368682861328,139.7129364013672,227.6231689453125,36.17207717895508,69.47865295410156,80.4093246459961,48.60391616821289,58.4102897644043,54.33682632446289,54.87984848022461,51.59002685546875,80.74986267089844,21.770076751708984,141.96925354003906,136.79779052734375,387.0154113769531,41.271461486816406,54.20791244506836,86.74089050292969,193.74783325195312,39.19269561767578,39.128299713134766,52.85490036010742,41.487422943115234,34.24638366699219,95.68389892578125,66.44330596923828,66.55670166015625,35.501983642578125,30.99428939819336,126.19974517822266,70.20227813720703
2023-01-27,53.549530029296875,60.88996505737305,106.43818664550781,214.89451599121094,148.76229858398438,56.996212005615234,181.81509399414062,140.5655975341797,228.71722412109375,35.7152099609375,69.56986236572266,79.86820220947266,48.77994918823242,58.963809967041016,54.14790344238281,54.56865310668945,51.47068786621094,80.21455383300781,22.045421600341797,142.2333526611328,138.82696533203125,387.9046630859375,41.22651672363281,54.02982711791992,86.79696655273438,194.5299835205078,38.929466247558594,39.002044677734375,53.22068786621094,40.64974594116211,34.24638366699219,96.08289337158203,66.72150421142578,66.36541748046875,35.82157516479492,30.99428939819336,125.34123229980469,71.79460906982422
2023-01-30,53.23089599609375,59.549468994140625,105.68973541259766,212.06509399414062,147.3197784423828,56.046268463134766,179.28318786621094,139.0289306640625,225.02487182617188,35.07382583618164,69.02250671386719,79.27959442138672,47.85090255737305,57.76295471191406,53.81504821777344,54.660186767578125,49.53376770019531,79.79922485351562,21.787839889526367,140.72425842285156,136.3096466064453,383.0377502441406,40.884910583496094,53.70037841796875,85.74063873291016,191.92596435546875,38.230567932128906,38.7354736328125,52.38323974609375,39.71849060058594,34.076332092285156,95.14240264892578,65.44761657714844,66.44737243652344,35.38656234741211,30.85481834411621,124.20914459228516,70.57124328613281
2023-01-31,53.412967681884766,59.084022521972656,107.0539779663086,215.32614135742188,149.3618621826172,56.96675109863281,183.63726806640625,142.48638916015625,230.4852294921875,35.3374137878418,69.6246109008789,80.14350891113281,48.486568450927734,58.22266387939453,54.17490005493164,55.39240646362305,49.18494415283203,80.59295654296875,22.080951690673828,143.11050415039062,138.5206756591797,388.669677734375,41.13661193847656,54.083255767822266,86.73153686523438,194.9973907470703,38.33041000366211,39.58660125732422,53.01853561401367,40.070491790771484,34.53925323486328,96.75738525390625,66.3603286743164,67.1669692993164,36.03463363647461,31.08426856994629,125.81291961669922,72.18782806396484
2023-02-01,53.59504699707031,60.61069107055664,108.06766510009766,217.78152465820312,150.251708984375,57.96333312988281,186.5239715576172,144.1823272705078,234.4900665283203,34.76631546020508,69.9986343383789,80.26692199707031,49.61119842529297,59.010719299316406,54.33682632446289,55.648677825927734,50.32322692871094,81.45132446289062,22.249711990356445,144.57244873046875,140.62644958496094,392.80029296875,41.505191802978516,54.706546783447266,87.67569732666016,197.37249755859375,38.720706939697266,39.848480224609375,53.64421081542969,39.281829833984375,34.53925323486328,97.46037292480469,67.92223358154297,67.70439147949219,36.30097579956055,31.13825798034668,126.40727996826172,73.55682373046875
2023-02-02,53.467586517333984,60.601383209228516,109.0245361328125,221.12887573242188,151.33831787109375,59.36981964111328,190.1970977783203,147.06822204589844,239.3251953125,33.9755744934082,69.90740203857422,79.69732666015625,50.911869049072266,61.66573715209961,54.471763610839844,55.12697219848633,49.41443634033203,80.56527709960938,22.693815231323242,146.1570281982422,143.00021362304688,398.51837158203125,41.4962043762207,54.804481506347656,88.38614654541016,200.3199005126953,38.44840621948242,39.72222137451172,57.1672248840332,38.38622283935547,34.633724212646484,98.22039794921875,69.7769546508789,67.12142944335938,37.13547134399414,31.20574951171875,125.5488052368164,75.80935668945312
