Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ISIN
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,Equity,25038739.75,0.07,"25,038,739.75",41796.0,599.07,Germany,Xetra,USD,0.86,EUR,-,
ABX,BARRICK MINING,Materials,Equity,25035973.44,0.07,"25,035,973.44",529061.0,47.32,Canada,Toronto Stock Exchange,USD,1.39,CAD,-,
ICICIBANK,ICICI BANK,Financials,Equity,25025592.37,0.07,"25,025,592.37",1657035.0,15.1,India,National Stock Exchange Of India,USD,95.55,INR,-,
SU,SUNCOR ENERGY INC,Energy,Equity,25002729.0,0.07,"25,002,729.00",376317.0,66.44,Canada,Toronto Stock Exchange,USD,1.39,CAD,-,
ANZ,ANZ GROUP HOLDINGS LTD,Financials,Equity,24996459.41,0.07,"24,996,459.41",953328.0,26.22,Australia,Asx - All Markets,USD,1.39,AUD,"Jan 01, 1998",
MAR,MARRIOTT INTERNATIONAL CLASS A,Consumer Discretionary,Equity,24988883.92,0.07,"24,988,883.92",70616.0,353.87,United States,NASDAQ,USD,1.00,USD,-,
ABNB,AIRBNB CLASS A,Consumer Discretionary,Equity,24824112.4,0.07,"24,824,112.40",134621.0,184.4,United States,NASDAQ,USD,1.00,USD,-,
O39,OVERSEA-CHINESE BANKING LTD,Financials,Equity,24782222.92,0.07,"24,782,222.92",1019600.0,24.31,Singapore,Singapore Exchange,USD,1.27,SGD,-,
SPOT,SPOTIFY TECHNOLOGY,Communication,Equity,24759660.0,0.07,"24,759,660.00",46960.0,527.25,Sweden,NYSE,USD,1.00,USD,-,
MCO,MOODYS CORP,Financials,Equity,24685433.92,0.07,"24,685,433.92",48496.0,509.02,United States,NYSE,USD,1.00,USD,-,
ITW,ILLINOIS TOOL INC,Industrials,Equity,24662743.53,0.07,"24,662,743.53",87559.0,281.67,United States,NYSE,USD,1.00,USD,-,
DDOG,DATADOG INC CLASS A,Information Technology,Equity,24580872.05,0.07,"24,580,872.05",101185.0,242.93,United States,NASDAQ,USD,1.00,USD,-,
INVE B,INVESTOR CLASS B,Financials,Equity,24554598.97,0.07,"24,554,598.97",563365.0,43.59,Sweden,Nasdaq Omx Nordic,USD,9.52,SEK,-,
GLEN,GLENCORE PLC,Materials,Equity,24546008.75,0.07,"24,546,008.75",3035745.0,8.09,United Kingdom,London Stock Exchange,USD,0.74,GBP,-,
EOG,EOG RESOURCES,Energy,Equity,24503732.0,0.07,"24,503,732.00",169576.0,144.5,United States,NYSE,USD,1.00,USD,-,
NSC,NORFOLK SOUTHERN CORP,Industrials,Equity,24375627.87,0.07,"24,375,627.87",70059.0,347.93,United States,NYSE,USD,1.00,USD,-,
SPCX,SPACE EXPLORATION TECHNOLOGIES COR,Communication,Equity,24032985.48,0.07,"24,032,985.48",170604.0,140.87,United States,NASDAQ,USD,1.00,USD,-,
NG.,NATIONAL GRID PLC,Utilities,Equity,23936673.91,0.07,"23,936,673.91",1519239.0,15.76,United Kingdom,London Stock Exchange,USD,0.74,GBP,-,
6981,MURATA MANUFACTURING,Information Technology,Equity,23699657.29,0.07,"23,699,657.29",516600.0,45.88,Japan,Tokyo Stock Exchange,USD,159.32,JPY,-,
TGT,TARGET CORP,Consumer Staples,Equity,23483575.11,0.07,"23,483,575.11",141527.0,165.93,United States,NYSE,USD,1.00,USD,-,
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,23470454.88,0.07,"23,470,454.88",72066.0,325.68,United States,NYSE,USD,1.00,USD,-,
ROST,ROSS STORES INC,Consumer Discretionary,Equity,23464899.73,0.07,"23,464,899.73",102079.0,229.87,United States,NASDAQ,USD,1.00,USD,-,
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,23427686.37,0.07,"23,427,686.37",266739.0,87.83,United States,NASDAQ,USD,1.00,USD,"Jan 01, 1970",
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Equity,23400163.11,0.07,"23,400,163.11",430071.0,54.41,United States,NYSE,USD,1.00,USD,-,
8031,MITSUI,Industrials,Equity,23258829.4,0.07,"23,258,829.40",752100.0,30.93,Japan,Tokyo Stock Exchange,USD,159.32,JPY,-,
8001,ITOCHU,Industrials,Equity,23218155.28,0.07,"23,218,155.28",1757300.0,13.21,Japan,Tokyo Stock Exchange,USD,159.32,JPY,-,
RCL,ROYAL CARIBBEAN GROUP,Consumer Discretionary,Equity,23131740.8,0.07,"23,131,740.80",81221.0,284.8,United States,NYSE,USD,1.00,USD,-,
CI,CIGNA,Health Care,Equity,23065491.56,0.07,"23,065,491.56",83068.0,277.67,United States,NYSE,USD,1.00,USD,-,
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,23042645.1,0.07,"23,042,645.10",42270.0,545.13,United States,NYSE,USD,1.00,USD,-,
DBK,DEUTSCHE BANK AG,Financials,Equity,23011154.29,0.07,"23,011,154.29",573718.0,40.11,Germany,Xetra,USD,0.86,EUR,-,
FDX,FEDEX CORP,Industrials,Equity,22956107.88,0.07,"22,956,107.88",69268.0,331.41,United States,NYSE,USD,1.00,USD,-,
WPM,WHEATON PRECIOUS METALS,Materials,Equity,22956939.5,0.07,"22,956,939.50",145301.0,158.0,Canada,Toronto Stock Exchange,USD,1.39,CAD,-,
402340,SK SQUARE,Industrials,Equity,22875436.77,0.07,"22,875,436.77",29571.0,773.58,Korea (South),Korea Exchange (Stock Market),USD,"1,380.60",KRW,-,
MFC,MANULIFE FINANCIAL,Financials,Equity,22815638.25,0.07,"22,815,638.25",528823.0,43.14,Canada,Toronto Stock Exchange,USD,1.39,CAD,-,
APP,APPLOVIN CLASS A,Communication,Equity,22765091.34,0.07,"22,765,091.34",72818.0,312.63,United States,NASDAQ,USD,1.00,USD,-,
AON,AON PLC CLASS A,Financials,Equity,22752510.84,0.07,"22,752,510.84",65089.0,349.56,United States,NYSE,USD,1.00,USD,-,
ECL,ECOLAB,Materials,Equity,22604330.51,0.07,"22,604,330.51",79061.0,285.91,United States,NYSE,USD,1.00,USD,-,
ITX,INDUSTRIA DE DISENO TEXTIL SA,Consumer Discretionary,Equity,22520408.94,0.07,"22,520,408.94",335138.0,67.2,Spain,Bolsa De Madrid,USD,0.86,EUR,-,
CTAS,CINTAS,Industrials,Equity,22516724.25,0.07,"22,516,724.25",110295.0,204.15,United States,NASDAQ,USD,1.00,USD,-,
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,22088972.88,0.07,"22,088,972.88",102792.0,214.89,United States,NYSE,USD,1.00,USD,-,
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,22086270.48,0.07,"22,086,270.48",242813.0,90.96,United States,NYSE,USD,1.00,USD,-,
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,22066548.75,0.07,"22,066,548.75",100125.0,220.39,United States,NASDAQ,USD,1.00,USD,-,
ABI,ANHEUSER-BUSCH INBEV SA,Consumer Staples,Equity,22038582.39,0.07,"22,038,582.39",281352.0,78.33,Belgium,Nyse Euronext - Euronext Brussels,USD,0.86,EUR,-,
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,21968175.71,0.07,"21,968,175.71",470713.0,46.67,United States,NYSE,USD,1.00,USD,-,
NWG,NATWEST GROUP PLC,Financials,Equity,21894674.45,0.07,"21,894,674.45",2376145.0,9.21,United Kingdom,London Stock Exchange,USD,0.74,GBP,-,
LITE,LUMENTUM HOLDINGS,Information Technology,Equity,21821027.08,0.07,"21,821,027.08",22822.0,956.14,United States,NASDAQ,USD,1.00,USD,-,
WBD,WARNER BROS. DISCOVERY SERIES A,Communication,Equity,21565706.8,0.06,"21,565,706.80",746735.0,28.88,United States,NASDAQ,USD,1.00,USD,-,
KKR,KKR AND CO INC,Financials,Equity,21480286.8,0.06,"21,480,286.80",196490.0,109.32,United States,NYSE,USD,1.00,USD,-,
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,21398415.22,0.06,"21,398,415.22",174382.0,122.71,United States,NASDAQ,USD,1.00,USD,-,
MNST,MONSTER BEVERAGE,Consumer Staples,Equity,21278481.4,0.06,"21,278,481.40",455642.0,46.7,United States,NASDAQ,USD,1.00,USD,-,
AJG,ARTHUR J GALLAGHER,Financials,Equity,21210809.95,0.06,"21,210,809.95",81533.0,260.15,United States,NYSE,USD,1.00,USD,-,
TDG,TRANSDIGM GROUP,Industrials,Equity,21207143.52,0.06,"21,207,143.52",17874.0,1186.48,United States,NYSE,USD,1.00,USD,-,
ALL,ALLSTATE CORP,Financials,Equity,21166059.2,0.06,"21,166,059.20",82160.0,257.62,United States,NYSE,USD,1.00,USD,-,
HCA,HCA HEALTHCARE,Health Care,Equity,21090285.96,0.06,"21,090,285.96",50294.0,419.34,United States,NYSE,USD,1.00,USD,-,
PCAR,PACCAR INC,Industrials,Equity,21054990.6,0.06,"21,054,990.60",166390.0,126.54,United States,NASDAQ,USD,1.00,USD,-,
6503,MITSUBISHI ELECTRIC,Industrials,Equity,21051548.46,0.06,"21,051,548.46",602900.0,34.92,Japan,Tokyo Stock Exchange,USD,159.32,JPY,-,
CNR,CANADIAN NATIONAL RAILWAY,Industrials,Equity,21013450.81,0.06,"21,013,450.81",166290.0,126.37,Canada,Toronto Stock Exchange,USD,1.39,CAD,-,
APD,AIR PRODUCTS AND CHEMICALS,Materials,Equity,20974792.08,0.06,"20,974,792.08",68664.0,305.47,United States,NYSE,USD,1.00,USD,-,
REL,RELX PLC,Industrials,Equity,20833253.2,0.06,"20,833,253.20",574899.0,36.24,United Kingdom,London Stock Exchange,USD,0.74,GBP,-,
MQG,MACQUARIE GROUP LTD DEF,Financials,Equity,20760160.23,0.06,"20,760,160.23",115038.0,180.46,Australia,Asx - All Markets,USD,1.39,AUD,-,
DLR,DIGITAL REALTY TRUST REIT,Real Estate,Equity,20731432.0,0.06,"20,731,432.00",107920.0,192.1,United States,NYSE,USD,1.00,USD,-,
URI,UNITED RENTALS,Industrials,Equity,20732562.33,0.06,"20,732,562.33",19983.0,1037.51,United States,NYSE,USD,1.00,USD,-,
ARGX,ARGENX,Health Care,Equity,20702946.76,0.06,"20,702,946.76",19591.0,1056.76,Belgium,Nyse Euronext - Euronext Brussels,USD,0.86,EUR,-,
RHM,RHEINMETALL AG,Industrials,Equity,20450908.92,0.06,"20,450,908.92",14968.0,1366.31,Germany,Xetra,USD,0.86,EUR,-,
DG,VINCI SA,Industrials,Equity,20447823.9,0.06,"20,447,823.90",152876.0,133.75,France,Nyse Euronext - Euronext Paris,USD,0.86,EUR,-,
WES,WESFARMERS,Consumer Discretionary,Equity,20322342.31,0.06,"20,322,342.31",355636.0,57.14,Australia,Asx - All Markets,USD,1.39,AUD,-,
6752,PANASONIC HOLDINGS,Consumer Discretionary,Equity,20298769.77,0.06,"20,298,769.77",739200.0,27.46,Japan,Tokyo Stock Exchange,USD,159.32,JPY,-,
1398,INDUSTRIAL AND COMMERCIAL BANK OF,Financials,Equity,20171179.34,0.06,"20,171,179.34",21211260.0,0.95,China,Hong Kong Exchanges And Clearing Ltd,USD,7.84,HKD,-,
TRP,TC ENERGY,Energy,Equity,20027092.76,0.06,"20,027,092.76",323112.0,61.98,Canada,Toronto Stock Exchange,USD,1.39,CAD,-,
TFC,TRUIST FINANCIAL,Financials,Equity,20007428.6,0.06,"20,007,428.60",397762.0,50.3,United States,NYSE,USD,1.00,USD,-,
NDA FI,NORDEA BANK,Financials,Equity,19971869.64,0.06,"19,971,869.64",980230.0,20.37,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.86,EUR,-,
CRH,CRH PUBLIC LIMITED PLC,Materials,Equity,19927665.36,0.06,"19,927,665.36",208492.0,95.58,United States,NYSE,USD,1.00,USD,-,
3711,ASE TECHNOLOGY HOLDING,Information Technology,Equity,19820178.5,0.06,"19,820,178.50",1037873.0,19.1,Taiwan,Taiwan Stock Exchange,USD,31.68,TWD,-,
TRGP,TARGA RESOURCES,Energy,Equity,19782383.85,0.06,"19,782,383.85",68463.0,288.95,United States,NYSE,USD,1.00,USD,-,
DB1,DEUTSCHE BOERSE AG,Financials,Equity,19762122.56,0.06,"19,762,122.56",58757.0,336.34,Germany,Xetra,USD,0.86,EUR,-,
BKR,BAKER HUGHES CLASS A,Energy,Equity,19638809.34,0.06,"19,638,809.34",316194.0,62.11,United States,NASDAQ,USD,1.00,USD,-,
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,19626867.6,0.06,"19,626,867.60",14970.0,1311.08,United States,NASDAQ,USD,1.00,USD,-,
4063,SHIN ETSU CHEMICAL,Materials,Equity,19594236.13,0.06,"19,594,236.13",520900.0,37.62,Japan,Tokyo Stock Exchange,USD,159.32,JPY,-,
KMI,KINDER MORGAN,Energy,Equity,19464847.92,0.06,"19,464,847.92",617148.0,31.54,United States,NYSE,USD,1.00,USD,-,
1810,XIAOMI,Information Technology,Equity,19343334.44,0.06,"19,343,334.44",5518200.0,3.51,China,Hong Kong Exchanges And Clearing Ltd,USD,7.84,HKD,-,
CSL,CSL,Health Care,Equity,19259804.52,0.06,"19,259,804.52",154022.0,125.05,Australia,Asx - All Markets,USD,1.39,AUD,-,
AAL,ANGLO AMERICAN PLC,Materials,Equity,19249524.95,0.06,"19,249,524.95",334016.0,57.63,United Kingdom,London Stock Exchange,USD,0.74,GBP,-,
DHL,DEUTSCHE POST AG,Industrials,Equity,19130252.19,0.06,"19,130,252.19",291146.0,65.71,Germany,Xetra,USD,0.86,EUR,-,
OKE,ONEOK,Energy,Equity,18919656.96,0.06,"18,919,656.96",199743.0,94.72,United States,NYSE,USD,1.00,USD,-,
7974,NINTENDO,Communication,Equity,18878162.19,0.06,"18,878,162.19",344600.0,54.78,Japan,Tokyo Stock Exchange,USD,159.32,JPY,-,
GWW,WW GRAINGER INC,Industrials,Equity,18826711.08,0.06,"18,826,711.08",14251.0,1321.08,United States,NYSE,USD,1.00,USD,-,
