Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ISIN
IT,GARTNER,Information Technology,Equity,175521137.8,0.02,"175,521,137.80",892783.0,196.6,United States,NYSE,USD,1.0,USD,-,
GDDY,GODADDY CLASS A,Information Technology,Equity,171224396.72,0.02,"171,224,396.72",1765564.0,96.98,United States,NYSE,USD,1.0,USD,-,
CSGP,COSTAR GROUP,Real Estate,Equity,170638809.74,0.02,"170,638,809.74",5444761.0,31.34,United States,NASDAQ,USD,1.0,USD,-,
HAS,HASBRO,Consumer Discretionary,Equity,167996588.76,0.02,"167,996,588.76",1783782.0,94.18,United States,NASDAQ,USD,1.0,USD,-,
CLX,CLOROX,Consumer Staples,Equity,167706708.86,0.02,"167,706,708.86",1618322.0,103.63,United States,NYSE,USD,1.0,USD,-,
REG,REGENCY CENTERS REIT CORP,Real Estate,Equity,166360625.2,0.02,"166,360,625.20",2204620.0,75.46,United States,NASDAQ,USD,1.0,USD,-,
LII,LENNOX INTERNATIONAL INC,Industrials,Equity,165068820.35,0.02,"165,068,820.35",422009.0,391.15,United States,NYSE,USD,1.0,USD,-,
DECK,DECKERS OUTDOOR,Consumer Discretionary,Equity,163955173.44,0.02,"163,955,173.44",1899168.0,86.33,United States,NYSE,USD,1.0,USD,-,
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,Equity,160683856.2,0.02,"160,683,856.20",947205.0,169.64,United States,NASDAQ,USD,1.0,USD,-,
LULU,LULULEMON ATHLETICA,Consumer Discretionary,Equity,160581400.0,0.02,"160,581,400.00",1396360.0,115.0,United States,NASDAQ,USD,1.0,USD,-,
PNW,PINNACLE WEST,Utilities,Equity,158153727.03,0.02,"158,153,727.03",1615627.0,97.89,United States,NYSE,USD,1.0,USD,-,
ECHO,ECHOSTAR CLASS A,Communication,Equity,157117114.11,0.02,"157,117,114.11",1817013.0,86.47,United States,NASDAQ,USD,1.0,USD,-,
HII,HUNTINGTON INGALLS INDUSTRIES,Industrials,Equity,156120654.34,0.02,"156,120,654.34",525146.0,297.29,United States,NYSE,USD,1.0,USD,-,
GNRC,GENERAC HOLDINGS,Industrials,Equity,154964192.56,0.02,"154,964,192.56",785464.0,197.29,United States,NYSE,USD,1.0,USD,-,
TKO,TKO GROUP HOLDINGS INC CLASS A,Communication,Equity,154830852.8,0.02,"154,830,852.80",839920.0,184.34,United States,NYSE,USD,1.0,USD,-,
TECH,BIO TECHNE,Health Care,Equity,151796459.17,0.02,"151,796,459.17",2094611.0,72.47,United States,NASDAQ,USD,1.0,USD,-,
NWSA,NEWS CLASS A,Communication,Equity,151752325.04,0.02,"151,752,325.04",4865416.0,31.19,United States,NASDAQ,USD,1.0,USD,-,
FDS,FACTSET RESEARCH SYSTEMS,Financials,Equity,147868900.2,0.02,"147,868,900.20",485660.0,304.47,United States,NYSE,USD,1.0,USD,-,
UDR,UDR REIT,Real Estate,Equity,146190384.36,0.02,"146,190,384.36",3942567.0,37.08,United States,NYSE,USD,1.0,USD,-,
BEN,FRANKLIN TEMPLETON,Financials,Equity,142339320.02,0.02,"142,339,320.02",4087861.0,34.82,United States,NYSE,USD,1.0,USD,-,
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,Equity,141765264.77,0.02,"141,765,264.77",1340063.0,105.79,United States,NYSE,USD,1.0,USD,-,
ROL,ROLLINS INC,Industrials,Equity,141225583.08,0.02,"141,225,583.08",3929482.0,35.94,United States,NYSE,USD,1.0,USD,-,
ALGN,ALIGN TECHNOLOGY,Health Care,Equity,141093759.84,0.02,"141,093,759.84",888276.0,158.84,United States,NASDAQ,USD,1.0,USD,-,
AES,AES,Utilities,Equity,140571335.0,0.02,"140,571,335.00",9530260.0,14.75,United States,NYSE,USD,1.0,USD,-,
BXP,BXP,Real Estate,Equity,138144429.86,0.02,"138,144,429.86",1974338.0,69.97,United States,NYSE,USD,1.0,USD,-,
SWKS,SKYWORKS SOLUTIONS,Information Technology,Equity,135528724.16,0.02,"135,528,724.16",2012006.0,67.36,United States,NASDAQ,USD,1.0,USD,-,
DPZ,DOMINOS PIZZA,Consumer Discretionary,Equity,135531900.85,0.02,"135,531,900.85",408161.0,332.06,United States,NASDAQ,USD,1.0,USD,-,
PNR,PENTAIR,Industrials,Equity,133817985.9,0.02,"133,817,985.90",2154879.0,62.1,United States,NYSE,USD,1.0,USD,-,
PODD,INSULET,Health Care,Equity,132426801.74,0.01,"132,426,801.74",923414.0,143.41,United States,NASDAQ,USD,1.0,USD,-,
APTV,APTIV PLC,Consumer Discretionary,Equity,128219456.64,0.01,"128,219,456.64",2821731.0,45.44,United States,NYSE,USD,1.0,USD,-,
