date,metric_code,metric,group,value,unit,source_series
2018-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.3,% annualized,H8B1020NCBCMG
2018-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.3,%,CORBLACBS
2018-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,9876284.0,$mn SAAR,BCNSDODNS
2018-01-01,delinquency,Business Loan Delinquency Rate,신용손실,1.11,%,DRBLACBS
2018-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-10.0,%,DRTSCILM
2018-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.0,% annualized,H8B1020NCBCMG
2018-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.1,% annualized,H8B1020NCBCMG
2018-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.2,% annualized,H8B1020NCBCMG
2018-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.29,%,CORBLACBS
2018-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,10268595.0,$mn SAAR,BCNSDODNS
2018-04-01,delinquency,Business Loan Delinquency Rate,신용손실,1.08,%,DRBLACBS
2018-04-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-11.3,%,DRTSCILM
2018-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.5,% annualized,H8B1020NCBCMG
2018-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.2,% annualized,H8B1020NCBCMG
2018-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.7,% annualized,H8B1020NCBCMG
2018-07-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.26,%,CORBLACBS
2018-07-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,10394857.0,$mn SAAR,BCNSDODNS
2018-07-01,delinquency,Business Loan Delinquency Rate,신용손실,0.99,%,DRBLACBS
2018-07-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-15.9,%,DRTSCILM
2018-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.4,% annualized,H8B1020NCBCMG
2018-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.3,% annualized,H8B1020NCBCMG
2018-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.7,% annualized,H8B1020NCBCMG
2018-10-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.28,%,CORBLACBS
2018-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,10523606.0,$mn SAAR,BCNSDODNS
2018-10-01,delinquency,Business Loan Delinquency Rate,신용손실,0.94,%,DRBLACBS
2018-10-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-15.9,%,DRTSCILM
2018-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.8,% annualized,H8B1020NCBCMG
2018-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.9,% annualized,H8B1020NCBCMG
2019-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,6.0,% annualized,H8B1020NCBCMG
2019-01-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.3,%,CORBLACBS
2019-01-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,10749528.0,$mn SAAR,BCNSDODNS
2019-01-01,delinquency,Business Loan Delinquency Rate,신용손실,1.16,%,DRBLACBS
2019-01-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,2.8,%,DRTSCILM
2019-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.9,% annualized,H8B1020NCBCMG
2019-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.8,% annualized,H8B1020NCBCMG
2019-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.0,% annualized,H8B1020NCBCMG
2019-04-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.31,%,CORBLACBS
2019-04-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,10882992.0,$mn SAAR,BCNSDODNS
2019-04-01,delinquency,Business Loan Delinquency Rate,신용손실,1.07,%,DRBLACBS
2019-04-01,sloos_tightening,SLOOS C&I 대출기준 강화 비율,신용 공급의지,-4.2,%,DRTSCILM
2019-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.6,% annualized,H8B1020NCBCMG
2019-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,5.0,% annualized,H8B1020NCBCMG
2019-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.5,% annualized,H8B1020NCBCMG
2019-07-01,chargeoff,Business Loan Charge-off Rate,신용손실,0.44,%,CORBLACBS
2019-07-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,11097265.0,$mn SAAR,BCNSDODNS
2019-07-01,delinquency,Business Loan Delinquency Rate,신용손실,1.12,%,DRBLACBS
