as_of,ticker,sector,benchmark,return_21,benchmark_return_21,excess_21,freq_21,magnitude_21,return_63,benchmark_return_63,excess_63,freq_63,magnitude_63,return_126,benchmark_return_126,excess_126,freq_126,magnitude_126,return_252,benchmark_return_252,excess_252,freq_252,magnitude_252,return_756,benchmark_return_756,excess_756,freq_756,magnitude_756,return_12_1,benchmark_return_12_1,excess_12_1,return_12_7,benchmark_return_12_7,excess_12_7,consistency_12m,monthly_rel_magnitude_12m,prior_drawdown_252_ex63,benchmark_prior_drawdown_252_ex63,benchmark_current_drawdown,rebound_63,benchmark_rebound_63,rank_21,rank_63,rank_126,rank_252,rank_756,rank_12_1,rank_12_7,rank_consistency_12m,rank_prior_drawdown,rank_rebound_63,bounce_flag_research,old_leader_failure_flag,rank_improvement_126_to_63
2022-08-31,IXG,financials,VT,-0.010821116694541888,-0.030651709788444226,0.019830593093902338,0.6190476190476191,0.0009644571537660666,-0.07618338622654619,-0.04977568767279528,-0.026407698553750913,0.5238095238095238,-0.0004414756270783203,-0.12142755347205803,-0.11074591332779038,-0.010681640144267646,0.49206349206349204,-9.264278275482825e-05,-0.13304331626695287,-0.16076823092670722,0.02772491465975435,0.48412698412698413,0.00014113766106276247,0.18423584965783601,0.2663569995383295,-0.08212114988049346,0.4828042328042328,-3.92222705086246e-05,-0.12355924862042256,-0.13423092860654406,0.010671679986121507,0.03421647688273688,-0.027409266786938336,0.061625743669675215,0.5,0.0030652493228942126,-0.19357105268573482,-0.1868678937759558,-0.18410917142078742,-0.07618338622654619,-0.04977568767279528,2,8,7,5,8,6,2,6,4,8,False,False,-1
2022-08-31,EXI,industrials,VT,-0.03746745655838002,-0.030651709788444226,-0.006815746769935793,0.38095238095238093,-0.0003262270935091254,-0.044428130322907045,-0.04977568767279528,0.005347557349888232,0.5238095238095238,9.420939007290462e-05,-0.10615952225206526,-0.11074591332779038,0.004586391075725116,0.5079365079365079,2.8394687546205522e-05,-0.17281395136330524,-0.16076823092670722,-0.012045720436598017,0.49206349206349204,-6.098873592881075e-05,0.18478803694479695,0.2663569995383295,-0.08156896259353252,0.4722222222222222,-7.700718629937059e-05,-0.1406149804774205,-0.13423092860654406,-0.006384051870876428,-0.053499375027448726,-0.027409266786938336,-0.02609010824051039,0.3333333333333333,-0.001137365584986209,-0.1880902703853523,-0.1868678937759558,-0.18410917142078742,-0.044428130322907045,-0.04977568767279528,7,4,5,8,7,7,10,8,5,4,False,False,1
2022-08-31,IXC,energy,VT,0.041784485142904115,-0.030651709788444226,0.07243619493134834,0.5714285714285714,0.003525849973269604,-0.08251128653688922,-0.04977568767279528,-0.03273559886409394,0.5238095238095238,-0.0003858058803402435,0.07746400868597947,-0.11074591332779038,0.18820992201376985,0.5634920634920635,0.0016508697803137855,0.5620219995466291,-0.16076823092670722,0.7227902304733363,0.5634920634920635,0.0025667590571029613,0.47253437254301156,0.2663569995383295,0.20617737300468209,0.48412698412698413,0.0003964941265030917,0.49937153204231377,-0.13423092860654406,0.6336024606488578,0.3320635358361024,-0.027409266786938336,0.3594728026230407,0.75,0.05596763534014493,-0.1570962741435704,-0.1868678937759558,-0.18410917142078742,-0.08251128653688922,-0.04977568767279528,1,9,1,1,2,1,1,1,7,9,False,False,-8
2022-08-31,MXI,materials,VT,-0.01813797248639204,-0.030651709788444226,0.012513737302052186,0.5714285714285714,0.0006357376706071108,-0.1489923962814147,-0.04977568767279528,-0.09921670860861942,0.47619047619047616,-0.0017083887630516526,-0.16137113411954362,-0.11074591332779038,-0.050625220791753245,0.5317460317460317,-0.00044795811025860523,-0.16181968963477755,-0.16076823092670722,-0.0010514587080703297,0.5436507936507936,8.501404186372907e-06,0.3149107572860874,0.2663569995383295,0.04855375774775794,0.5013227513227513,7.425840881738533e-05,-0.14633595466792215,-0.13423092860654406,-0.012105026061378088,-0.028279416741944896,-0.027409266786938336,-0.0008701499550065606,0.6666666666666666,0.00045106054969383985,-0.1403417909264857,-0.1868678937759558,-0.18410917142078742,-0.1489923962814147,-0.04977568767279528,4,11,10,7,4,8,8,3,8,11,False,False,-1
2022-08-31,RXI,consumer_discretionary,VT,-0.04181128744712437,-0.030651709788444226,-0.011159577658680142,0.47619047619047616,-0.0005081991037974074,-0.012788590574593695,-0.04977568767279528,0.03698709709820158,0.5555555555555556,0.0006782570378144443,-0.12181194780810656,-0.11074591332779038,-0.011066034480316178,0.48412698412698413,5.749333971320836e-06,-0.1904623169339753,-0.16076823092670722,-0.029694086007268083,0.49603174603174605,-7.273744741913434e-05,0.18545231794859274,0.2663569995383295,-0.08090468158973674,0.48148148148148145,-5.706475891230011e-05,-0.15513752931904623,-0.13423092860654406,-0.020906600712502166,-0.008615373815562322,-0.027409266786938336,0.018793892971376014,0.3333333333333333,-0.0027149960207123645,-0.3206030694199714,-0.1868678937759558,-0.18410917142078742,-0.012788590574593695,-0.04977568767279528,8,1,8,9,6,10,7,8,1,1,False,False,7
2022-08-31,KXI,consumer_staples,VT,-0.03162984219826348,-0.030651709788444226,-0.0009781324098192545,0.5238095238095238,-8.455214028479401e-05,-0.016043277506468057,-0.04977568767279528,0.03373241016632722,0.5079365079365079,0.0005012255606613359,-0.05008259847752716,-0.11074591332779038,0.06066331485026322,0.49206349206349204,0.00047520769138334517,-0.04491102594520113,-0.16076823092670722,0.11585720498150609,0.5119047619047619,0.0004790367764810886,0.1455083598151763,0.2663569995383295,-0.12084863972315318,0.47883597883597884,-0.0001729241384760351,-0.013714986609135948,-0.13423092860654406,0.12051594199740812,0.023810663869167525,-0.027409266786938336,0.05121993065610586,0.6666666666666666,0.011470867185116964,-0.11439962367082357,-0.1868678937759558,-0.18410917142078742,-0.016043277506468057,-0.04977568767279528,6,2,3,3,9,3,3,3,10,2,False,False,1
2022-08-31,IXJ,health_care,VT,-0.05141538343675789,-0.030651709788444226,-0.020763673648313663,0.47619047619047616,-0.0010557497596436576,-0.05197584828004054,-0.04977568767279528,-0.0022001606072452606,0.5555555555555556,-6.601052108726764e-05,-0.05830942338587364,-0.11074591332779038,0.05243648994191674,0.5396825396825397,0.00041813250047364716,-0.10171521361421887,-0.16076823092670722,0.059053017312488354,0.503968253968254,0.0002457220300843687,0.3375241750847595,0.2663569995383295,0.07116717554643004,0.4973544973544973,4.61507886762248e-05,-0.05302619218061877,-0.13423092860654406,0.0812047364259253,-0.04302071774022209,-0.027409266786938336,-0.015611450953283756,0.5,0.006065491131819904,-0.1251777666107684,-0.1868678937759558,-0.18410917142078742,-0.05197584828004054,-0.04977568767279528,10,6,4,4,3,4,9,6,9,6,False,False,-2
2022-08-31,JXI,utilities,VT,-0.016957236597063163,-0.030651709788444226,0.013694473191381062,0.5238095238095238,0.0006365299799841436,-0.03177779539849013,-0.04977568767279528,0.01799789227430515,0.5079365079365079,0.00027655025625055314,0.0264040744605889,-0.11074591332779038,0.13714998778837928,0.5158730158730159,0.0010894575224438775,0.004695279359063775,-0.16076823092670722,0.165463510285771,0.4880952380952381,0.0006841692834204647,0.20336065628628686,0.2663569995383295,-0.06299634325204262,0.4894179894179894,-6.948729262681496e-05,0.02202601632626222,-0.13423092860654406,0.15625694493280629,0.005382856789229784,-0.027409266786938336,0.03279212357616812,0.75,0.015380395765132884,-0.08913648106641103,-0.1868678937759558,-0.18410917142078742,-0.03177779539849013,-0.04977568767279528,3,3,2,2,5,2,4,1,11,3,False,False,-1
2022-08-31,REET,real_estate,VT,-0.04520651511517226,-0.030651709788444226,-0.014554805326728038,0.3333333333333333,-0.0007295962318656844,-0.06243118072609233,-0.04977568767279528,-0.012655493053297051,0.4444444444444444,-0.00022298794194732337,-0.1174843398162918,-0.11074591332779038,-0.0067384264885014256,0.4603174603174603,-7.941296290528554e-05,-0.1406715443882377,-0.16076823092670722,0.02009668653846952,0.49206349206349204,8.341968621175885e-05,-0.0048038671939254485,0.2663569995383295,-0.2711608667322549,0.49603174603174605,-0.0002870056736197187,-0.0999850028140703,-0.13423092860654406,0.034245925792473764,-0.005438119978402933,-0.027409266786938336,0.021971146808535402,0.5833333333333334,0.002290352919538626,-0.17549449781343518,-0.1868678937759558,-0.18410917142078742,-0.06243118072609233,-0.04977568767279528,9,7,6,6,11,5,5,5,6,7,False,False,-1
2022-08-31,IXP,communication_services,VT,-0.030569096457024214,-0.030651709788444226,8.26133314200117e-05,0.5238095238095238,2.9856724526600154e-05,-0.09115303728704882,-0.04977568767279528,-0.041377349614253545,0.5238095238095238,-0.0006686982966653221,-0.1864264228684741,-0.11074591332779038,-0.07568050954068373,0.48412698412698413,-0.000662680610961695,-0.32227699564049184,-0.16076823092670722,-0.1615087647137846,0.46825396825396826,-0.0008149044768009686,0.09076290699398237,0.2663569995383295,-0.1755940925443471,0.49867724867724866,-0.00019493788894285081,-0.3009063339299002,-0.13423092860654406,-0.16667540532335612,-0.10421894047571123,-0.027409266786938336,-0.0768096736887729,0.3333333333333333,-0.01739820323797033,-0.29566984963126397,-0.1868678937759558,-0.18410917142078742,-0.09115303728704882,-0.04977568767279528,5,10,11,11,10,11,11,8,2,10,False,False,1
