as_of,universe,sector,sector_ko,n_sample,n_valid_12m,sector_weight_pct,valid_weight_pct,coverage_of_sector_weight,median_change_3m,weighted_change_3m,pct_increasing_3m,pct_decreasing_3m,net_breadth_3m,median_change_6m,weighted_change_6m,pct_increasing_6m,pct_decreasing_6m,net_breadth_6m,median_change_12m,weighted_change_12m,pct_increasing_12m,pct_decreasing_12m,net_breadth_12m,signal
2026-08-30,US,Consumer Discretionary,경기소비재,12,12,8.999999999999998,7.219999999999999,0.8022222222222223,0.00013277202838279933,0.011563040698915675,0.08333333333333333,0.08333333333333333,0.0,0.0003986240717439582,0.04036127250767099,0.08333333333333333,0.25,-0.16666666666666669,0.0014359974625812733,0.049603674055018206,0.3333333333333333,0.3333333333333333,0.0,완만한 공급 증가
2026-08-30,US,Consumer Staples,필수소비재,12,12,4.46,3.6699999999999995,0.8228699551569506,-5.237706251454144e-05,-0.0007779994151093797,0.0,0.0,0.0,-0.0029282516181960427,-0.0020266022779338944,0.0,0.08333333333333333,-0.08333333333333333,-0.005614930244422611,-0.004612070830674579,0.0,0.25,-0.25,중립
2026-08-30,US,Energy,에너지,12,12,3.34,2.8000000000000003,0.8383233532934133,-0.002882945904362111,-0.00837251761798022,0.0,0.16666666666666666,-0.16666666666666666,-0.019830838156342512,-0.022245955944176766,0.0,0.6666666666666666,-0.6666666666666666,-0.024099841413202927,-0.032747810324146295,0.0,0.75,-0.75,공급 감소
2026-08-30,US,Financials,금융,12,11,12.24,7.1899999999999995,0.5874183006535947,-0.009265998248937979,-0.010608945189997583,0.0,0.5,-0.5,-0.031064746791929887,-0.026742971050570438,0.0,0.8333333333333334,-0.8333333333333334,-0.03807061103472564,-0.034831812535097664,0.0,0.9090909090909091,-0.9090909090909091,공급 감소
2026-08-30,US,Health Care,헬스케어,12,12,9.26,5.859999999999999,0.6328293736501079,-0.0011873106765099006,-0.0016229623638166547,0.0,0.08333333333333333,-0.08333333333333333,-0.005524552348894762,-0.004702351561872706,0.0,0.3333333333333333,-0.3333333333333333,-0.006056422338693801,-0.005813442418903404,0.0,0.4166666666666667,-0.4166666666666667,중립
2026-08-30,US,Industrials,산업재,12,12,8.42,3.5,0.4156769596199525,-0.00015433862571795354,-0.0033832233726006082,0.0,0.16666666666666666,-0.16666666666666666,-0.008400198262944636,-0.009852750831730045,0.0,0.5,-0.5,-0.009560656443042992,-0.009194627482878,0.08333333333333333,0.5,-0.4166666666666667,중립
2026-08-30,US,Information Technology,기술,12,11,37.92,28.74,0.7579113924050632,0.0005347940048774369,-0.0007981426058916046,0.08333333333333333,0.0,0.08333333333333333,0.0012834815369564545,-0.001827758497672505,0.08333333333333333,0.0,0.08333333333333333,0.0009720675116138278,-0.011917305067649132,0.18181818181818182,0.36363636363636365,-0.18181818181818182,완만한 공급 감소
2026-08-30,US,Materials,소재,12,12,1.8299999999999998,1.4300000000000004,0.7814207650273227,-0.0040133174540495364,-0.005659411341107367,0.0,0.16666666666666666,-0.16666666666666666,-0.014266151767287849,-0.01651528920281875,0.0,0.5833333333333334,-0.5833333333333334,-0.016852839147538157,-0.019974449178831497,0.0,0.75,-0.75,완만한 공급 감소
2026-08-30,US,Real Estate,부동산,12,11,1.8000000000000003,1.2400000000000002,0.6888888888888889,0.014719155980799092,0.019707400273099578,0.5454545454545454,0.18181818181818182,0.3636363636363636,0.023110275206245978,0.017577035665951972,0.5454545454545454,0.18181818181818182,0.3636363636363636,0.023996643089875924,0.02809036553217921,0.5454545454545454,0.18181818181818182,0.3636363636363636,공급 증가
2026-08-30,US,Utilities,유틸리티,12,12,2.0200000000000005,1.2600000000000002,0.6237623762376238,0.0004801149928318482,0.0014537243220788165,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.009842358197562628,0.013296029113299824,0.5,0.08333333333333333,0.4166666666666667,0.01923672089867312,0.03319554804948822,0.6666666666666666,0.16666666666666666,0.5,공급 증가
