as_of,ticker,gics_sector,sector_ko,window,breadth_vs_spy_pct,breadth_vs_sector_pct,median_excess_vs_spy,median_excess_vs_sector,dispersion_std,n_valid,n_sector_members,coverage,survivorship_note,breadth_vs_spy_pct_1m_ago,breadth_vs_sector_pct_1m_ago,dispersion_std_1m_ago,breadth_vs_spy_change_1m,breadth_vs_sector_change_1m,dispersion_change_1m
2026-09-25,XLY,Consumer Discretionary,경기소비재,63,0.14893617021276595,0.3617021276595745,-0.14273097026093895,-0.050811852446587924,0.1283448823686058,47,47,1.0,Uses current S&P 500 constituents,0.44680851063829785,0.6170212765957447,0.17385850541701303,-0.2978723404255319,-0.2553191489361702,-0.045513623048407226
2026-09-25,XLY,Consumer Discretionary,경기소비재,126,0.14893617021276595,0.44680851063829785,-0.22427532751739754,-0.042656130626224864,0.185726514183528,47,47,1.0,Uses current S&P 500 constituents,0.2765957446808511,0.3829787234042553,0.22653725598473773,-0.12765957446808512,0.06382978723404253,-0.04081074180120972
2026-09-25,XLY,Consumer Discretionary,경기소비재,252,0.19148936170212766,0.46808510638297873,-0.3114490106339325,-0.06254261484846113,0.2604214669719309,47,47,1.0,Uses current S&P 500 constituents,0.2978723404255319,0.48936170212765956,0.27143812451783683,-0.10638297872340424,-0.021276595744680826,-0.011016657545905917
2026-09-25,XLP,Consumer Staples,필수소비재,21,0.12121212121212122,0.3939393939393939,-0.07221054296674578,-0.02028661652118291,0.06781834235067527,33,33,1.0,Uses current S&P 500 constituents,0.24242424242424243,0.48484848484848486,0.06670906921749113,-0.12121212121212122,-0.09090909090909094,0.0011092731331841382
2026-09-25,XLP,Consumer Staples,필수소비재,63,0.12121212121212122,0.36363636363636365,-0.10866206334358897,-0.023014677548478857,0.092419878093761,33,33,1.0,Uses current S&P 500 constituents,0.6060606060606061,0.6060606060606061,0.11904330139482146,-0.48484848484848486,-0.24242424242424243,-0.02662342330106046
2026-09-25,XLP,Consumer Staples,필수소비재,126,0.12121212121212122,0.5454545454545454,-0.16670593223470154,0.010022707748096105,0.1617661129246568,33,33,1.0,Uses current S&P 500 constituents,0.18181818181818182,0.48484848484848486,0.14011125442018793,-0.06060606060606061,0.06060606060606055,0.021654858504468882
2026-09-25,XLP,Consumer Staples,필수소비재,252,0.2727272727272727,0.48484848484848486,-0.11940065540383071,-0.013809855578275076,0.2318848653086469,33,33,1.0,Uses current S&P 500 constituents,0.21212121212121213,0.45454545454545453,0.22442606202526927,0.06060606060606058,0.03030303030303033,0.007458803283377641
2026-09-25,XLV,Health Care,헬스케어,21,0.3,0.43333333333333335,-0.036479044063167376,-0.014499068150377381,0.08925662599060225,60,60,1.0,Uses current S&P 500 constituents,0.5833333333333334,0.5833333333333334,0.22817977628193167,-0.2833333333333334,-0.15000000000000002,-0.13892315029132943
2026-09-25,XLV,Health Care,헬스케어,63,0.5666666666666667,0.55,0.018561934414110248,0.010610091899775687,0.29279681534857677,60,60,1.0,Uses current S&P 500 constituents,0.8666666666666667,0.5833333333333334,0.3025070964739974,-0.30000000000000004,-0.033333333333333326,-0.009710281125420661
2026-09-25,XLV,Health Care,헬스케어,126,0.4166666666666667,0.5,-0.02431879285684302,-0.0034687631027362498,0.4605228656396384,60,60,1.0,Uses current S&P 500 constituents,0.5166666666666667,0.5166666666666667,0.3677511050053483,-0.10000000000000003,-0.01666666666666672,0.0927717606342901
2026-09-25,XLV,Health Care,헬스케어,252,0.6,0.5,0.08052313998187166,-0.012593325130757171,0.9225163056815786,60,60,1.0,Uses current S&P 500 constituents,0.5833333333333334,0.5,0.6980029787091498,0.016666666666666607,0.0,0.22451332697242876
2026-09-25,XLU,Utilities,유틸리티,21,0.03225806451612903,0.7096774193548387,-0.0860283336961507,0.008607085886934485,0.06558396989754915,31,31,1.0,Uses current S&P 500 constituents,0.03225806451612903,0.3225806451612903,0.03434405831585793,0.0,0.38709677419354843,0.031239911581691225
2026-09-25,XLU,Utilities,유틸리티,63,0.0,0.3870967741935484,-0.20157693416937428,-0.0023246571957682427,0.07584817099654971,31,31,1.0,Uses current S&P 500 constituents,0.12903225806451613,0.41935483870967744,0.05706716246271064,-0.12903225806451613,-0.03225806451612906,0.018781008533839072
2026-09-25,XLU,Utilities,유틸리티,126,0.0,0.5161290322580645,-0.31034035138466,0.007817865437657279,0.08019688594565484,31,31,1.0,Uses current S&P 500 constituents,0.0,0.6129032258064516,0.07910534822951455,0.0,-0.09677419354838712,0.0010915377161402895
2026-09-25,XLU,Utilities,유틸리티,252,0.0,0.6129032258064516,-0.21535694131269434,0.02169412067848464,0.12026006424881519,31,31,1.0,Uses current S&P 500 constituents,0.0967741935483871,0.5483870967741935,0.13127826682367272,-0.0967741935483871,0.06451612903225812,-0.011018202574857527
2026-09-25,XLRE,Real Estate,부동산,21,0.0,0.4666666666666667,-0.08414972909692736,-0.004240805249000668,0.031462764912727405,30,30,1.0,Uses current S&P 500 constituents,0.1,0.4,0.04257888011438685,-0.1,0.06666666666666665,-0.011116115201659442
2026-09-25,XLRE,Real Estate,부동산,63,0.0,0.4,-0.15109392814178707,-0.016747356997165175,0.04856271986422098,30,30,1.0,Uses current S&P 500 constituents,0.3333333333333333,0.3333333333333333,0.06762171894630539,-0.3333333333333333,0.06666666666666671,-0.019058999082084416
2026-09-25,XLRE,Real Estate,부동산,126,0.1,0.4666666666666667,-0.15861561067120988,-0.0061530544054823055,0.11548416510861226,30,30,1.0,Uses current S&P 500 constituents,0.23333333333333334,0.4666666666666667,0.10924762195703423,-0.13333333333333333,0.0,0.006236543151578025
2026-09-25,XLRE,Real Estate,부동산,252,0.16666666666666666,0.4666666666666667,-0.17885209730645607,-0.03453110737897919,0.2233520947901087,30,30,1.0,Uses current S&P 500 constituents,0.3,0.4666666666666667,0.24893623778845186,-0.13333333333333333,0.0,-0.025584142998343162
2026-09-25,XLC,Communication Services,커뮤니케이션서비스,21,0.13043478260869565,0.21739130434782608,-0.07382317778610903,-0.07085782188194034,0.10828238672987427,23,23,1.0,Uses current S&P 500 constituents,0.5217391304347826,0.5217391304347826,0.11989123066411236,-0.3913043478260869,-0.30434782608695654,-0.011608843934238097
2026-09-25,XLC,Communication Services,커뮤니케이션서비스,63,0.34782608695652173,0.34782608695652173,-0.04072554398603079,-0.047350320501553966,0.15897150088691098,23,23,1.0,Uses current S&P 500 constituents,0.5652173913043478,0.6956521739130435,0.14716042894399806,-0.21739130434782605,-0.34782608695652173,0.01181107194291292
2026-09-25,XLC,Communication Services,커뮤니케이션서비스,126,0.13043478260869565,0.5217391304347826,-0.12148428223121077,0.03602648164240274,0.20030530583418105,23,23,1.0,Uses current S&P 500 constituents,0.2608695652173913,0.6521739130434783,0.1800227996286937,-0.13043478260869565,-0.13043478260869568,0.020282506205487355
2026-09-25,XLC,Communication Services,커뮤니케이션서비스,252,0.17391304347826086,0.43478260869565216,-0.22979144043882838,-0.024282162499207338,0.2949035173700241,23,23,1.0,Uses current S&P 500 constituents,0.21739130434782608,0.4782608695652174,0.5514083952515817,-0.043478260869565216,-0.043478260869565244,-0.25650487788155757
